"| id | text                                                                     | label         |"
"| 46 | Social media algorithms can manipulate public opinion dangerously.       | Risks         |"
"| 47 | AI developers must consider fairness across different demographic groups. | Ethics        |"
"| 48 | Brain-computer interfaces will merge human cognition with AI.            | Future Trends |"
"| 49 | AI streamlines drug discovery by analyzing molecular interactions.       | Applications  |"
"| 50 | Adversarial attacks can fool AI systems into making wrong decisions.     | Risks         |"
"| 51 | Who owns the intellectual property created by AI systems?                | Ethics        |"
"| 52 | AI will enable real-time language translation in conversations.          | Future Trends |"
"| 53 | Smart home devices use AI to learn user preferences automatically.       | Applications  |"
"| 54 | AI-generated content makes it harder to distinguish truth from fiction.  | Risks         |"
"| 55 | Medical AI systems need transparent explanations for their diagnoses.    | Ethics        |"
"| 56 | Future AI may possess general intelligence comparable to humans.         | Future Trends |"
"| 57 | AI assists archaeologists in analyzing historical artifacts and sites.   | Applications  |"
"| 58 | Deepfake audio technology threatens identity verification systems.       | Risks         |"
"| 59 | AI researchers debate the moral status of advanced artificial beings.    | Ethics        |"
"| 60 | AI will revolutionize materials science through automated experimentation. | Future Trends |"
"| 61 | Natural language processing helps analyze customer feedback at scale.    | Applications  |"
"| 62 | AI systems trained on biased data perpetuate societal inequalities.     | Risks         |"
"| 63 | Democratic societies must balance AI innovation with citizen rights.     | Ethics        |"
"| 64 | AI will enable personalized nutrition based on individual genetics.     | Future Trends |"
"| 65 | Computer vision AI monitors manufacturing quality in real-time.          | Applications  |"
"| 66 | Autonomous weapons raise unprecedented ethical and security concerns.     | Risks         |"
"| 67 | AI governance requires international cooperation and shared standards.    | Ethics        |"
"| 68 | Virtual AI companions will provide emotional support for lonely individuals. | Future Trends |"
"| 69 | AI-powered robots assist elderly people with daily living tasks.        | Applications  |"
"| 70 | Privacy violations occur when AI analyzes personal data without consent. | Risks         |"
"| 71 | Should AI systems be programmed with specific moral frameworks?          | Ethics        |"
"| 72 | AI will accelerate the development of fusion energy technology.          | Future Trends |"
"| 73 | Machine learning optimizes supply chain management across industries.    | Applications  |"
"| 74 | AI decision-making lacks the nuance of human moral reasoning.            | Risks         |"
"| 75 | Ensuring AI safety requires proactive regulation before widespread deployment. | Ethics        |"
"| 76 | AI tutors will provide personalized education to students worldwide.     | Future Trends |"
"| 77 | Predictive AI models help prevent equipment failures in manufacturing.   | Applications  |"
"| 78 | AI surveillance systems could enable authoritarian control over populations. | Risks         |"
"| 79 | The development of AI should include diverse voices and perspectives.    | Ethics        |"
"| 80 | AI will transform mental healthcare through continuous behavioral monitoring. | Future Trends |"
"| 81 | AI-enhanced microscopy accelerates biological research discoveries.      | Applications  |"
"| 82 | Malicious use of AI could undermine democratic election processes.       | Risks         |"
"| 83 | AI systems must be designed to respect human autonomy and dignity.       | Ethics        |"
"| 84 | Future AI may help solve climate change through innovative solutions.    | Future Trends |"
"| 85 | Voice recognition AI enables hands-free control of digital devices.     | Applications  |"
"| 86 | AI algorithms can amplify existing social biases in hiring decisions.   | Risks         |"
"| 87 | Ethical AI development requires transparency in algorithmic processes.   | Ethics        |"
"| 88 | AI will enable new forms of human-machine collaborative creativity.      | Future Trends |"
"| 89 | AI-powered drones monitor wildlife populations for conservation efforts. | Applications  |"
"| 90 | Unchecked AI development could lead to unintended consequences.          | Risks         |"
"| 91 | AI researchers have a responsibility to consider societal impacts.       | Ethics        |"
"| 92 | AI will facilitate breakthroughs in understanding consciousness itself.  | Future Trends |"
"| 93 | Recommendation algorithms help users discover relevant content online.   | Applications  |"
"| 94 | AI-powered misinformation campaigns threaten democratic discourse.       | Risks         |"
"| 95 | AI systems should be auditable and explainable to affected parties.     | Ethics        |"
"| 96 | AI will enable seamless integration between physical and digital worlds. | Future Trends |"
"| 97 | AI assists financial advisors in creating personalized investment strategies. | Applications  |"
"| 98 | Algorithmic discrimination can deny opportunities to marginalized groups. | Risks         |"
"| 99 | AI governance frameworks must adapt to rapidly evolving technology.      | Ethics        |"
"| 100| AI will fundamentally reshape how humans work, learn, and interact.      | Future Trends |"
